Species,Rep,Month,Temp,H_lipid,S_lipid
POR,1,January,16.7989,19.22849901,63.43001261
POR,2,January,16.7989,14.41871291,62.68656716
POR,3,January,16.7989,20.31981007,59.39181287
ACRO,1,January,16.7989,25.66589173,25.04900893
ACRO,2,January,16.7989,11.57220306,26.70469981
ACRO,3,January,16.7989,30.97452487,28.03943045
OULA,1,January,16.7989,49.77578475,50.34
OULA,2,January,16.7989,42.57142857,48.47713891
OULA,3,January,16.7989,47.89315812,32.24239621
GALA,1,January,16.7989,29.57759648,51.51480895
GALA,2,January,16.7989,25.74039557,26.702619
GALA,3,January,16.7989,40.15076793,47.19636218
MONT,1,January,16.7989,27.36593956,37.00543057
MONT,2,January,16.7989,42.85986897,34.47993753
MONT,3,January,16.7989,26.67251975,34.71122352
POR,1,February,16.091,18.66629464,47.84832232
POR,2,February,16.091,18.95968502,52.48599191
POR,3,February,16.091,21.27326492,44.27455357
ACRO,1,February,16.091,22.09194569,19.29910191
ACRO,2,February,16.091,20.04751221,18.08035714
ACRO,3,February,16.091,18.90784227,21.60265879
OULA,1,February,16.091,45.65217391,56.9177389
OULA,2,February,16.091,40.60773481,35.83238016
OULA,3,February,16.091,38.66906475,37.93596852
GALA,1,February,16.091,24.77826638,37.07911458
GALA,2,February,16.091,19.40453266,39.61960497
GALA,3,February,16.091,17.96357925,46.95546804
MONT,1,February,16.091,20.16288901,27.04970795
MONT,2,February,16.091,28.22941945,29.33735383
MONT,3,February,16.091,27.93417167,33.33772045
POR,1,March,17.6576,11.87252656,36.50682534
POR,2,March,17.6576,91.3240355,45.48987854
POR,3,March,17.6576,46.95364685,45.05527338
ACRO,1,March,17.6576,25.96612399,18.866171
ACRO,2,March,17.6576,54.34455048,24.18324512
ACRO,3,March,17.6576,34.78792822,27.54780416
OULA,1,March,17.6576,40.40519332,36.82081941
OULA,2,March,17.6576,47.83046158,45.68012343
OULA,3,March,17.6576,30.22731216,57.84465819
GALA,1,March,17.6576,22.96532533,37.38415461
GALA,2,March,17.6576,35.69852862,47.40826462
GALA,3,March,17.6576,30.81497908,38.88844484
MONT,1,March,17.6576,23.15349848,28.27442827
MONT,2,March,17.6576,20.22105411,42.3211069
MONT,3,March,17.6576,21.25404839,36.11844738
POR,1,April,21.0375,20.95810938,50.95664249
POR,2,April,21.0375,8.20832154,48.00854245
POR,3,April,21.0375,30.00902527,52.54202331
ACRO,1,April,21.0375,20.47166317,24.36942917
ACRO,2,April,21.0375,24.71420103,34.64052288
ACRO,3,April,21.0375,31.84121622,26.48501362
OULA,1,April,21.0375,35.03505417,48.17824377
OULA,2,April,21.0375,41.44568007,54.16735984
OULA,3,April,21.0375,30.60542797,53.7715337
GALA,1,April,21.0375,22.94281511,35.49654219
GALA,2,April,21.0375,32.36950807,34.75801031
GALA,3,April,21.0375,17.69557611,50.91887046
MONT,1,April,21.0375,51.1161637,25.75757576
MONT,2,April,21.0375,33.78465869,41.64770686
MONT,3,April,21.0375,50.9915407,41.74660181
POR,1,May,27.6915,34.44506726,44.73889322
POR,2,May,27.6915,80.70714835,45.70694087
POR,3,May,27.6915,36.77802061,63.50515464
ACRO,1,May,27.6915,58.76999448,34.94265137
ACRO,2,May,27.6915,19.34383998,28.95447531
ACRO,3,May,27.6915,55.72983945,38.7299966
OULA,1,May,27.6915,20.62719654,59.11959609
OULA,2,May,27.6915,45.83084577,64.07888558
OULA,3,May,27.6915,40.5609833,57.33956544
GALA,1,May,27.6915,18.99761758,40.14006379
GALA,2,May,27.6915,34.5054364,38.42983793
GALA,3,May,27.6915,14.31475155,61.19435475
MONT,1,May,27.6915,31.19793626,36.49927049
MONT,2,May,27.6915,32.44448305,56.92482546
MONT,3,May,27.6915,21.04279891,43.95998695
POR,1,June,29.7843,91.56264813,55.32743363
POR,2,June,29.7843,86.4023145,51.4789272
POR,3,June,29.7843,75.53357626,64.1214178
ACRO,1,June,29.7843,13.44040575,47.81453434
ACRO,2,June,29.7843,20.66024647,33.07159353
ACRO,3,June,29.7843,23.53203388,39.61798337
OULA,1,June,29.7843,17.57478632,55.26131428
OULA,2,June,29.7843,1.467923161,54.6187437
OULA,3,June,29.7843,18.28771112,65.37390613
GALA,1,June,29.7843,31.27463329,62.37368399
GALA,2,June,29.7843,17.30564763,16.61169518
GALA,3,June,29.7843,13.25377632,31.43504695
MONT,1,June,29.7843,14.10804446,38.50316884
MONT,2,June,29.7843,17.26973684,52.94789436
MONT,3,June,29.7843,51.41604103,41.94619347
POR,1,July,30.134,54.40107157,67.20360825
POR,2,July,30.134,67.94443015,57.70601803
POR,3,July,30.134,56.32183908,57.17092338
ACRO,1,July,30.134,58.22434608,52.43732591
ACRO,2,July,30.134,23.91066687,63.4884078
ACRO,3,July,30.134,65.43209877,56.63006757
OULA,1,July,30.134,24.14081146,50.57319224
OULA,2,July,30.134,31.06953658,58.98480919
OULA,3,July,30.134,50.86859688,67.07060063
GALA,1,July,30.134,18.98980538,58.36710848
GALA,2,July,30.134,31.96471064,23.65671139
GALA,3,July,30.134,30.28233946,31.80883442
MONT,1,July,30.134,27.46337624,52.69907287
MONT,2,July,30.134,51.10077013,54.86733362
MONT,3,July,30.134,19.85295982,38.84187506
POR,1,August,30.0097,45.90782123,45.33300322
POR,2,August,30.0097,37.86989197,41.31892697
POR,3,August,30.0097,33.34341601,63.88038615
ACRO,1,August,30.0097,49.2887447,57.03828829
ACRO,2,August,30.0097,93.28387349,69.07073509
ACRO,3,August,30.0097,42.01931923,46.91629956
OULA,1,August,30.0097,54.39924314,61.8128655
OULA,2,August,30.0097,44.22310757,57.08324182
OULA,3,August,30.0097,34.9944009,60.75927524
GALA,1,August,30.0097,22.21933809,31.04310848
GALA,2,August,30.0097,28.35181942,34.38487973
GALA,3,August,30.0097,31.92774687,43.32111644
MONT,1,August,30.0097,31.07811963,36.85138046
MONT,2,August,30.0097,47.94788609,53.05537874
MONT,3,August,30.0097,30.35108548,41.31492859
POR,1,September,29.0969,56.69428696,59.58066866
POR,2,September,29.0969,66.6489832,48.64755753
POR,3,September,29.0969,25.97897503,65.24472938
ACRO,1,September,29.0969,63.21070234,57.37277077
ACRO,2,September,29.0969,12.65474553,52.76537939
ACRO,3,September,29.0969,56.83206676,45.86198719
OULA,1,September,29.0969,4.234557673,50.43273013
OULA,2,September,29.0969,46.43493761,52.34815279
OULA,3,September,29.0969,36.63220089,72.19101124
GALA,1,September,29.0969,28.47633628,31.43601023
GALA,2,September,29.0969,32.60008198,43.73502467
GALA,3,September,29.0969,26.30469462,27.28596984
MONT,1,September,29.0969,22.19017957,60.68984504
MONT,2,September,29.0969,42.78169935,43.69884038
MONT,3,September,29.0969,41.48422894,54.7842818
POR,1,October,28.0222,30.92351444,57.63553789
POR,2,October,28.0222,80.74673864,47.37
POR,3,October,28.0222,88.36498581,31.30360206
ACRO,1,October,28.0222,41.58241758,50.59155924
ACRO,2,October,28.0222,43.00827967,49.47696417
ACRO,3,October,28.0222,74.80118509,53.13611683
OULA,1,October,28.0222,22.35523385,35.56512379
OULA,2,October,28.0222,40.98737084,21.46266359
OULA,3,October,28.0222,43.13131313,29.40031842
GALA,1,October,28.0222,10.63577386,26.42587901
GALA,2,October,28.0222,34.83200716,22.77907533
GALA,3,October,28.0222,42.80912967,41.16613829
MONT,1,October,28.0222,26.01771948,43.44407811
MONT,2,October,28.0222,22.41346818,39.12143307
MONT,3,October,28.0222,35.69654637,34.79400749
POR,1,November,25.6795,33.6950624,56.09399732
POR,2,November,25.6795,33.80414313,48.08320318
POR,3,November,25.6795,29.73893303,43.07692308
ACRO,1,November,25.6795,19.54632588,36.62726556
ACRO,2,November,25.6795,28.86242557,39.81836529
ACRO,3,November,25.6795,79.52608251,30.2578019
OULA,1,November,25.6795,41.26655629,33.77043872
OULA,2,November,25.6795,0.59084195,37.28053792
OULA,3,November,25.6795,53.71577575,29.10254193
GALA,1,November,25.6795,21.11141796,21.09989044
GALA,2,November,25.6795,29.11980777,55.49030077
GALA,3,November,25.6795,13.63883399,27.93665064
MONT,1,November,25.6795,23.64895503,39.44729763
MONT,2,November,25.6795,32.36302704,40.69535917
MONT,3,November,25.6795,35.68738533,34.0632793
POR,1,December,20.5138,77.12954034,61.90612479
POR,2,December,20.5138,38.38905775,69.8545527
POR,3,December,20.5138,48.57316333,50.84787417
ACRO,1,December,20.5138,52.59274874,32.89404323
ACRO,2,December,20.5138,59.89534666,38.52613291
ACRO,3,December,20.5138,37.46956061,22.67874037
OULA,1,December,20.5138,21.21116043,56.81488642
OULA,2,December,20.5138,43.06839187,21.45208486
OULA,3,December,20.5138,16.59663866,40.8136823
GALA,1,December,20.5138,19.28304329,16.95467459
GALA,2,December,20.5138,30.74888411,14.50692747
GALA,3,December,20.5138,17.37145755,15.29474126
MONT,1,December,20.5138,30.2811285,38.23638156
MONT,2,December,20.5138,49.66791871,37.30029085
MONT,3,December,20.5138,48.90890891,45.72450022